capture_id,subject_id,session_id,label,class_id,cam01_path,cam02_path,calibration_id,lateral_side,subset,status_2d,status_3d,qc_3d_status,selected_person_valid_cam01,selected_person_valid_cam02,reprojection_error
CAP000001,S001,SE01,upright,0,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000001_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000001_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,35.01
CAP000002,S001,SE01,upright,0,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000002_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000002_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,36.45
CAP000003,S001,SE01,upright,0,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000003_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000003_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,35.6
CAP000004,S001,SE01,upright,0,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000004_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000004_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,36.5
CAP000005,S001,SE01,upright,0,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000005_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000005_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,35.73
CAP000006,S001,SE01,leaning_forward,1,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000006_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000006_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,33.4
CAP000007,S001,SE01,leaning_forward,1,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000007_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000007_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,33.39
CAP000008,S001,SE01,leaning_forward,1,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000008_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000008_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,34.93
CAP000009,S001,SE01,leaning_forward,1,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000009_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000009_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,35.3
CAP000010,S001,SE01,leaning_forward,1,02_data/private_raw/S001/SE01/CAM01/S001_SE01_CAP000010_CAM01.jpg,02_data/private_raw/S001/SE01/CAM02/S001_SE01_CAP000010_CAM02.jpg,CAL_001,left,pilot,USABLE,USABLE,INCLUDE_3D_FULL,True,True,35.41
