capture_id,subject_id,session_id,calibration_id,label,repetition,subset,lateral_side,class_id,decision,valid_3d_joints_core,valid_3d_joints_total,core_reproj_error_640p_px,shoulder_width_m,torso_length_m,depth_z_m,reason,rig_qc_status,rig_reproj_err_px
CAP000001,S001,SE01,CAL_001,upright,1,pilot,left,5,INCLUDE_3D_FULL,11,14,35.01,0.196,0.438,0.832,"Full 3D: 11/17 core joints, core_err=35.0px, Z=0.83m",WARNING_RECHECK,47.67
CAP000002,S001,SE01,CAL_001,upright,1,pilot,left,5,INCLUDE_3D_FULL,11,14,36.45,0.192,0.437,0.828,"Full 3D: 11/17 core joints, core_err=36.4px, Z=0.83m",WARNING_RECHECK,47.67
CAP000003,S001,SE01,CAL_001,upright,1,pilot,left,5,INCLUDE_3D_FULL,11,14,35.6,0.194,0.433,0.829,"Full 3D: 11/17 core joints, core_err=35.6px, Z=0.83m",WARNING_RECHECK,47.67
CAP000004,S001,SE01,CAL_001,upright,1,pilot,left,5,INCLUDE_3D_FULL,11,14,36.5,0.195,0.437,0.828,"Full 3D: 11/17 core joints, core_err=36.5px, Z=0.83m",WARNING_RECHECK,47.67
CAP000005,S001,SE01,CAL_001,upright,1,pilot,left,5,INCLUDE_3D_FULL,11,14,35.73,0.195,0.433,0.829,"Full 3D: 11/17 core joints, core_err=35.7px, Z=0.83m",WARNING_RECHECK,47.67
CAP000006,S001,SE01,CAL_001,leaning_forward,1,pilot,left,1,INCLUDE_3D_FULL,11,12,33.4,0.21,0.425,0.795,"Full 3D: 11/17 core joints, core_err=33.4px, Z=0.80m",WARNING_RECHECK,47.67
CAP000007,S001,SE01,CAL_001,leaning_forward,1,pilot,left,1,INCLUDE_3D_FULL,11,12,33.39,0.205,0.423,0.793,"Full 3D: 11/17 core joints, core_err=33.4px, Z=0.79m",WARNING_RECHECK,47.67
CAP000008,S001,SE01,CAL_001,leaning_forward,1,pilot,left,1,INCLUDE_3D_FULL,12,12,34.93,0.207,0.426,0.79,"Full 3D: 12/17 core joints, core_err=34.9px, Z=0.79m",WARNING_RECHECK,47.67
CAP000009,S001,SE01,CAL_001,leaning_forward,1,pilot,left,1,INCLUDE_3D_FULL,12,12,35.3,0.206,0.425,0.787,"Full 3D: 12/17 core joints, core_err=35.3px, Z=0.79m",WARNING_RECHECK,47.67
CAP000010,S001,SE01,CAL_001,leaning_forward,1,pilot,left,1,INCLUDE_3D_FULL,12,12,35.41,0.206,0.424,0.786,"Full 3D: 12/17 core joints, core_err=35.4px, Z=0.79m",WARNING_RECHECK,47.67
CAP000011,S001,SE01,CAL_001,upright,1,pilot,left,5,INCLUDE_3D_FULL,10,12,39.65,0.199,0.465,0.843,"Full 3D: 10/17 core joints, core_err=39.7px, Z=0.84m",WARNING_RECHECK,47.67
CAP000012,S001,SE01,CAL_001,upright,2,pilot,left,5,INCLUDE_3D_FULL,11,12,38.84,0.206,0.442,0.848,"Full 3D: 11/17 core joints, core_err=38.8px, Z=0.85m",WARNING_RECHECK,47.67
CAP000013,S001,SE01,CAL_001,upright,3,pilot,left,5,INCLUDE_3D_FULL,10,12,38.31,0.212,0.449,0.857,"Full 3D: 10/17 core joints, core_err=38.3px, Z=0.86m",WARNING_RECHECK,47.67
CAP000014,S001,SE01,CAL_001,upright,4,pilot,left,5,INCLUDE_3D_FULL,11,12,39.53,0.217,0.45,0.858,"Full 3D: 11/17 core joints, core_err=39.5px, Z=0.86m",WARNING_RECHECK,47.67
CAP000015,S001,SE01,CAL_001,upright,5,pilot,left,5,INCLUDE_3D_FULL,10,12,40.53,0.22,0.458,0.857,"Full 3D: 10/17 core joints, core_err=40.5px, Z=0.86m",WARNING_RECHECK,47.67
CAP000016,S001,SE01,CAL_001,leaning_forward,1,pilot,left,1,INCLUDE_3D_FULL,12,12,17.57,0.198,0.399,0.803,"Full 3D: 12/17 core joints, core_err=17.6px, Z=0.80m",WARNING_RECHECK,47.67
CAP000017,S001,SE01,CAL_001,leaning_forward,2,pilot,left,1,INCLUDE_3D_FULL,12,12,18.64,0.218,0.398,0.797,"Full 3D: 12/17 core joints, core_err=18.6px, Z=0.80m",WARNING_RECHECK,47.67
CAP000018,S001,SE01,CAL_001,leaning_forward,3,pilot,left,1,INCLUDE_3D_FULL,12,12,23.43,0.231,0.434,0.794,"Full 3D: 12/17 core joints, core_err=23.4px, Z=0.79m",WARNING_RECHECK,47.67
CAP000019,S001,SE01,CAL_001,leaning_forward,4,pilot,left,1,INCLUDE_3D_FULL,11,11,20.1,0.228,0.418,0.794,"Full 3D: 11/17 core joints, core_err=20.1px, Z=0.79m",WARNING_RECHECK,47.67
CAP000020,S001,SE01,CAL_001,leaning_forward,5,pilot,left,1,INCLUDE_3D_FULL,12,12,24.28,0.234,0.44,0.793,"Full 3D: 12/17 core joints, core_err=24.3px, Z=0.79m",WARNING_RECHECK,47.67
CAP000021,S001,SE01,CAL_001,leaning_backward,1,pilot,left,0,INCLUDE_3D_FULL,11,12,36.0,0.228,0.432,0.867,"Full 3D: 11/17 core joints, core_err=36.0px, Z=0.87m",WARNING_RECHECK,47.67
CAP000022,S001,SE01,CAL_001,leaning_backward,2,pilot,left,0,INCLUDE_3D_FULL,12,12,41.16,0.214,0.43,0.852,"Full 3D: 12/17 core joints, core_err=41.2px, Z=0.85m",WARNING_RECHECK,47.67
