capture_id,subject_id,label,class_id,calibration_id,lateral_side,subset
CAP000001,S001,upright,5,CAL_001,left,pilot
CAP000002,S001,upright,5,CAL_001,left,pilot
CAP000003,S001,upright,5,CAL_001,left,pilot
CAP000004,S001,upright,5,CAL_001,left,pilot
CAP000005,S001,upright,5,CAL_001,left,pilot
CAP000006,S001,leaning_forward,1,CAL_001,left,pilot
CAP000007,S001,leaning_forward,1,CAL_001,left,pilot
CAP000008,S001,leaning_forward,1,CAL_001,left,pilot
CAP000009,S001,leaning_forward,1,CAL_001,left,pilot
CAP000010,S001,leaning_forward,1,CAL_001,left,pilot
CAP000011,S001,upright,5,CAL_001,left,pilot
CAP000012,S001,upright,5,CAL_001,left,pilot
CAP000013,S001,upright,5,CAL_001,left,pilot
CAP000014,S001,upright,5,CAL_001,left,pilot
CAP000015,S001,upright,5,CAL_001,left,pilot
CAP000016,S001,leaning_forward,1,CAL_001,left,pilot
CAP000017,S001,leaning_forward,1,CAL_001,left,pilot
CAP000018,S001,leaning_forward,1,CAL_001,left,pilot
CAP000019,S001,leaning_forward,1,CAL_001,left,pilot
CAP000020,S001,leaning_forward,1,CAL_001,left,pilot
CAP000021,S001,leaning_backward,0,CAL_001,left,pilot
CAP000022,S001,leaning_backward,0,CAL_001,left,pilot
CAP000023,S001,leaning_backward,0,CAL_001,left,pilot
CAP000024,S001,leaning_backward,0,CAL_001,left,pilot
CAP000025,S001,leaning_backward,0,CAL_001,left,pilot
CAP000026,S001,leaning_left,2,CAL_001,left,pilot
CAP000027,S001,leaning_left,2,CAL_001,left,pilot
CAP000028,S001,leaning_left,2,CAL_001,left,pilot
CAP000029,S001,leaning_left,2,CAL_001,left,pilot
CAP000030,S001,leaning_left,2,CAL_001,left,pilot
CAP000031,S001,leaning_right,3,CAL_001,left,pilot
CAP000032,S001,leaning_right,3,CAL_001,left,pilot
CAP000033,S001,leaning_right,3,CAL_001,left,pilot
CAP000036,S001,slouching,4,CAL_001,left,pilot
CAP000037,S001,slouching,4,CAL_001,left,pilot
CAP000038,S001,slouching,4,CAL_001,left,pilot
CAP000039,S001,slouching,4,CAL_001,left,pilot
CAP000040,S001,slouching,4,CAL_001,left,pilot
CAP000048,S002,upright,5,CAL_001,left,pilot
CAP000049,S002,upright,5,CAL_001,left,pilot
CAP000050,S002,upright,5,CAL_001,left,pilot
CAP000051,S002,upright,5,CAL_001,left,pilot
CAP000052,S002,upright,5,CAL_001,left,pilot
CAP000053,S002,leaning_forward,1,CAL_001,left,pilot
CAP000054,S002,leaning_forward,1,CAL_001,left,pilot
CAP000055,S002,leaning_forward,1,CAL_001,left,pilot
CAP000056,S002,leaning_forward,1,CAL_001,left,pilot
CAP000057,S002,leaning_forward,1,CAL_001,left,pilot
CAP000058,S002,leaning_backward,0,CAL_001,left,pilot
CAP000059,S002,leaning_backward,0,CAL_001,left,pilot
CAP000060,S002,leaning_backward,0,CAL_001,left,pilot
CAP000061,S002,leaning_backward,0,CAL_001,left,pilot
CAP000062,S002,leaning_backward,0,CAL_001,left,pilot
CAP000063,S002,leaning_left,2,CAL_001,left,pilot
CAP000064,S002,leaning_left,2,CAL_001,left,pilot
CAP000065,S002,leaning_left,2,CAL_001,left,pilot
CAP000066,S002,leaning_left,2,CAL_001,left,pilot
CAP000067,S002,leaning_left,2,CAL_001,left,pilot
CAP000068,S002,leaning_right,3,CAL_001,left,pilot
CAP000069,S002,leaning_right,3,CAL_001,left,pilot
CAP000070,S002,leaning_right,3,CAL_001,left,pilot
CAP000071,S002,leaning_right,3,CAL_001,left,pilot
CAP000072,S002,leaning_right,3,CAL_001,left,pilot
CAP000073,S002,slouching,4,CAL_001,left,pilot
CAP000074,S002,slouching,4,CAL_001,left,pilot
CAP000075,S002,slouching,4,CAL_001,left,pilot
CAP000076,S002,slouching,4,CAL_001,left,pilot
CAP000077,S002,slouching,4,CAL_001,left,pilot
CAP000083,S003,upright,5,CAL_004,left,pilot
CAP000084,S003,upright,5,CAL_004,left,pilot
CAP000085,S003,upright,5,CAL_004,left,pilot
CAP000086,S003,upright,5,CAL_004,left,pilot
CAP000087,S003,upright,5,CAL_004,left,pilot
CAP000088,S003,leaning_forward,1,CAL_004,left,pilot
CAP000089,S003,leaning_forward,1,CAL_004,left,pilot
CAP000090,S003,leaning_forward,1,CAL_004,left,pilot
CAP000091,S003,leaning_forward,1,CAL_004,left,pilot
CAP000092,S003,leaning_forward,1,CAL_004,left,pilot
CAP000093,S003,leaning_backward,0,CAL_004,left,pilot
CAP000094,S003,leaning_backward,0,CAL_004,left,pilot
CAP000095,S003,leaning_backward,0,CAL_004,left,pilot
CAP000096,S003,leaning_backward,0,CAL_004,left,pilot
CAP000097,S003,leaning_backward,0,CAL_004,left,pilot
CAP000098,S003,leaning_left,2,CAL_004,left,pilot
CAP000099,S003,leaning_left,2,CAL_004,left,pilot
CAP000100,S003,leaning_left,2,CAL_004,left,pilot
CAP000101,S003,leaning_left,2,CAL_004,left,pilot
CAP000102,S003,leaning_left,2,CAL_004,left,pilot
CAP000103,S003,leaning_right,3,CAL_004,left,pilot
CAP000104,S003,leaning_right,3,CAL_004,left,pilot
CAP000105,S003,leaning_right,3,CAL_004,left,pilot
CAP000106,S003,leaning_right,3,CAL_004,left,pilot
CAP000107,S003,leaning_right,3,CAL_004,left,pilot
CAP000122,S004,upright,5,CAL_004,left,pilot
CAP000123,S004,upright,5,CAL_004,left,pilot
CAP000124,S004,upright,5,CAL_004,left,pilot
CAP000125,S004,upright,5,CAL_004,left,pilot
CAP000126,S004,upright,5,CAL_004,left,pilot
CAP000127,S004,leaning_forward,1,CAL_004,left,pilot
CAP000128,S004,leaning_forward,1,CAL_004,left,pilot
CAP000129,S004,leaning_forward,1,CAL_004,left,pilot
CAP000130,S004,leaning_forward,1,CAL_004,left,pilot
CAP000131,S004,leaning_forward,1,CAL_004,left,pilot
CAP000132,S004,leaning_backward,0,CAL_004,left,pilot
CAP000133,S004,leaning_backward,0,CAL_004,left,pilot
CAP000134,S004,leaning_backward,0,CAL_004,left,pilot
CAP000135,S004,leaning_backward,0,CAL_004,left,pilot
CAP000136,S004,leaning_backward,0,CAL_004,left,pilot
CAP000137,S004,leaning_left,2,CAL_004,left,pilot
CAP000138,S004,leaning_left,2,CAL_004,left,pilot
CAP000139,S004,leaning_left,2,CAL_004,left,pilot
CAP000140,S004,leaning_left,2,CAL_004,left,pilot
CAP000141,S004,leaning_left,2,CAL_004,left,pilot
CAP000142,S004,leaning_right,3,CAL_004,left,pilot
CAP000143,S004,leaning_right,3,CAL_004,left,pilot
CAP000144,S004,leaning_right,3,CAL_004,left,pilot
CAP000145,S004,leaning_right,3,CAL_004,left,pilot
CAP000146,S004,leaning_right,3,CAL_004,left,pilot
CAP000147,S004,slouching,4,CAL_004,left,pilot
CAP000148,S004,slouching,4,CAL_004,left,pilot
CAP000149,S004,slouching,4,CAL_004,left,pilot
CAP000150,S004,slouching,4,CAL_004,left,pilot
CAP000151,S004,slouching,4,CAL_004,left,pilot
CAP000157,S005,upright,5,CAL_005,right,controlled
CAP000158,S005,upright,5,CAL_005,right,controlled
CAP000159,S005,upright,5,CAL_005,right,controlled
CAP000160,S005,upright,5,CAL_005,right,controlled
CAP000161,S005,upright,5,CAL_005,right,controlled
CAP000162,S005,leaning_forward,1,CAL_005,right,controlled
CAP000163,S005,leaning_forward,1,CAL_005,right,controlled
CAP000164,S005,leaning_forward,1,CAL_005,right,controlled
CAP000165,S005,leaning_forward,1,CAL_005,right,controlled
CAP000166,S005,leaning_forward,1,CAL_005,right,controlled
CAP000167,S005,leaning_backward,0,CAL_005,right,controlled
CAP000168,S005,leaning_backward,0,CAL_005,right,controlled
CAP000169,S005,leaning_backward,0,CAL_005,right,controlled
CAP000170,S005,leaning_backward,0,CAL_005,right,controlled
CAP000171,S005,leaning_backward,0,CAL_005,right,controlled
CAP000172,S005,leaning_left,2,CAL_005,right,controlled
CAP000173,S005,leaning_left,2,CAL_005,right,controlled
CAP000174,S005,leaning_left,2,CAL_005,right,controlled
CAP000175,S005,leaning_left,2,CAL_005,right,controlled
CAP000176,S005,leaning_left,2,CAL_005,right,controlled
CAP000177,S005,leaning_right,3,CAL_005,right,controlled
CAP000178,S005,leaning_right,3,CAL_005,right,controlled
CAP000179,S005,leaning_right,3,CAL_005,right,controlled
CAP000180,S005,leaning_right,3,CAL_005,right,controlled
CAP000182,S005,slouching,4,CAL_005,right,controlled
CAP000183,S005,slouching,4,CAL_005,right,controlled
CAP000184,S005,slouching,4,CAL_005,right,controlled
CAP000185,S005,slouching,4,CAL_005,right,controlled
CAP000186,S005,slouching,4,CAL_005,right,controlled
CAP000193,S006,upright,5,CAL_005,right,controlled
CAP000194,S006,upright,5,CAL_005,right,controlled
CAP000195,S006,upright,5,CAL_005,right,controlled
CAP000196,S006,upright,5,CAL_005,right,controlled
CAP000197,S006,upright,5,CAL_005,right,controlled
CAP000198,S006,leaning_forward,1,CAL_005,right,controlled
CAP000199,S006,leaning_forward,1,CAL_005,right,controlled
CAP000200,S006,leaning_forward,1,CAL_005,right,controlled
CAP000201,S006,leaning_forward,1,CAL_005,right,controlled
CAP000202,S006,leaning_forward,1,CAL_005,right,controlled
CAP000203,S006,leaning_backward,0,CAL_005,right,controlled
CAP000204,S006,leaning_backward,0,CAL_005,right,controlled
CAP000205,S006,leaning_backward,0,CAL_005,right,controlled
CAP000206,S006,leaning_backward,0,CAL_005,right,controlled
CAP000207,S006,leaning_backward,0,CAL_005,right,controlled
CAP000208,S006,leaning_left,2,CAL_005,right,controlled
CAP000209,S006,leaning_left,2,CAL_005,right,controlled
CAP000210,S006,leaning_left,2,CAL_005,right,controlled
CAP000211,S006,leaning_left,2,CAL_005,right,controlled
CAP000212,S006,leaning_left,2,CAL_005,right,controlled
CAP000213,S006,leaning_right,3,CAL_005,right,controlled
CAP000214,S006,leaning_right,3,CAL_005,right,controlled
CAP000215,S006,leaning_right,3,CAL_005,right,controlled
CAP000216,S006,leaning_right,3,CAL_005,right,controlled
CAP000217,S006,leaning_right,3,CAL_005,right,controlled
CAP000218,S006,slouching,4,CAL_005,right,controlled
CAP000219,S006,slouching,4,CAL_005,right,controlled
CAP000221,S006,slouching,4,CAL_005,right,controlled
CAP000222,S006,slouching,4,CAL_005,right,controlled
CAP000379,S011,upright,5,CAL_009,right,controlled
CAP000381,S011,upright,5,CAL_009,right,controlled
CAP000382,S011,upright,5,CAL_009,right,controlled
CAP000383,S011,upright,5,CAL_009,right,controlled
CAP000384,S011,leaning_forward,1,CAL_009,right,controlled
CAP000388,S011,leaning_forward,1,CAL_009,right,controlled
CAP000389,S011,leaning_backward,0,CAL_009,right,controlled
CAP000390,S011,leaning_backward,0,CAL_009,right,controlled
CAP000391,S011,leaning_backward,0,CAL_009,right,controlled
CAP000392,S011,leaning_backward,0,CAL_009,right,controlled
CAP000393,S011,leaning_backward,0,CAL_009,right,controlled
CAP000394,S011,leaning_left,2,CAL_009,right,controlled
CAP000395,S011,leaning_left,2,CAL_009,right,controlled
CAP000396,S011,leaning_left,2,CAL_009,right,controlled
CAP000397,S011,leaning_left,2,CAL_009,right,controlled
CAP000398,S011,leaning_left,2,CAL_009,right,controlled
CAP000404,S011,slouching,4,CAL_009,right,controlled
CAP000405,S011,slouching,4,CAL_009,right,controlled
CAP000406,S011,slouching,4,CAL_009,right,controlled
CAP000407,S011,slouching,4,CAL_009,right,controlled
CAP000408,S011,slouching,4,CAL_009,right,controlled
CAP000416,S012,upright,5,CAL_009,right,controlled
CAP000417,S012,upright,5,CAL_009,right,controlled
CAP000418,S012,upright,5,CAL_009,right,controlled
CAP000419,S012,upright,5,CAL_009,right,controlled
CAP000420,S012,upright,5,CAL_009,right,controlled
CAP000421,S012,leaning_forward,1,CAL_009,right,controlled
CAP000422,S012,leaning_forward,1,CAL_009,right,controlled
CAP000423,S012,leaning_forward,1,CAL_009,right,controlled
CAP000424,S012,leaning_forward,1,CAL_009,right,controlled
CAP000425,S012,leaning_forward,1,CAL_009,right,controlled
CAP000436,S012,leaning_right,3,CAL_009,right,controlled
CAP000437,S012,leaning_right,3,CAL_009,right,controlled
CAP000438,S012,leaning_right,3,CAL_009,right,controlled
CAP000439,S012,leaning_right,3,CAL_009,right,controlled
CAP000440,S012,leaning_right,3,CAL_009,right,controlled
