image_id,relative_path,original_path,original_split,original_label,final_label,subject_group,session_group,sequence_group,camera_view,torso_visible,shoulders_visible,hips_visible,label_quality,decision,notes,cluster_id,cluster_size,cluster_mixed_label,cluster_cross_split,suggested_representative,width,height,edge_variance,brightness_mean
IMG00001,test/leaning_backward/extract0001_jpg.rf.a1332939a94147508e6c3b1eefdacdfe.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0001_jpg.rf.a1332939a94147508e6c3b1eefdacdfe.jpg,test,leaning_backward,,,,extract_block_0000,,,,,,,,,1,False,False,False,1079,720,630.8582,137.6096
IMG00002,test/leaning_backward/extract0003_jpg.rf.8430a909638c7f091efbb4d99e46724b.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0003_jpg.rf.8430a909638c7f091efbb4d99e46724b.jpg,test,leaning_backward,,,,CL00104,,,,,,,,CL00104,6,False,True,False,1080,720,603.3809,139.2219
IMG00003,test/leaning_backward/extract0005_jpg.rf.b03d4d44d87b4673ecac12fd1e67e1f6.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0005_jpg.rf.b03d4d44d87b4673ecac12fd1e67e1f6.jpg,test,leaning_backward,,,,CL00230,,,,,,,,CL00230,2,False,True,True,1080,720,607.7768,139.4228
IMG00004,test/leaning_backward/extract0006_jpg.rf.bb14f80d3ed5120d553b720e9fe580a0.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0006_jpg.rf.bb14f80d3ed5120d553b720e9fe580a0.jpg,test,leaning_backward,,,,extract_block_0000,,,,,,,,,1,False,False,False,1079,720,513.7316,137.5801
IMG00005,test/leaning_backward/extract0011_jpg.rf.92d86a7e71a3d849dd3b8635f41189dd.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0011_jpg.rf.92d86a7e71a3d849dd3b8635f41189dd.jpg,test,leaning_backward,,,,extract_block_0000,,,,,,,,,1,False,False,False,1080,720,572.0529,137.1655
IMG00006,test/leaning_backward/extract0013_jpg.rf.64b52fb73c5e806771df0b27184fec9c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0013_jpg.rf.64b52fb73c5e806771df0b27184fec9c.jpg,test,leaning_backward,,,,extract_block_0000,,,,,,,,,1,False,False,False,1080,720,300.2368,140.6692
IMG00007,test/leaning_backward/extract0013_jpg.rf.ab91529194bb5f6acb33be8bb4eae67c.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0013_jpg.rf.ab91529194bb5f6acb33be8bb4eae67c.jpg,test,leaning_backward,,,,extract_block_0000,,,,,,,,,1,False,False,False,1079,720,300.9241,140.5366
IMG00008,test/leaning_backward/extract0015_jpg.rf.0cd6f117632fa6701cca0e9e715f593a.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0015_jpg.rf.0cd6f117632fa6701cca0e9e715f593a.jpg,test,leaning_backward,,,,CL00165,,,,,,,,CL00165,3,False,True,False,1080,720,322.7348,138.9744
IMG00009,test/leaning_backward/extract0585_jpg.rf.9cc21b4ff1811e7094d374f89d77ee6e.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0585_jpg.rf.9cc21b4ff1811e7094d374f89d77ee6e.jpg,test,leaning_backward,,,,CL00006,,,,,,,,CL00006,87,True,True,False,1080,720,231.5547,110.0483
IMG00010,test/leaning_backward/extract0591_jpg.rf.472e1d1ce2931a1dd74a918ecdf6e060.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0591_jpg.rf.472e1d1ce2931a1dd74a918ecdf6e060.jpg,test,leaning_backward,,,,CL00006,,,,,,,,CL00006,87,True,True,False,1080,720,236.8703,110.5671
IMG00011,test/leaning_backward/extract0608_jpg.rf.deac4b3adfc307ba257a188a5d856676.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0608_jpg.rf.deac4b3adfc307ba257a188a5d856676.jpg,test,leaning_backward,,,,CL00086,,,,,,,,CL00086,8,False,True,True,1080,720,233.8466,112.4833
IMG00012,test/leaning_backward/extract0617_jpg.rf.f5a1896477d710d0f23e637bb09b6094.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0617_jpg.rf.f5a1896477d710d0f23e637bb09b6094.jpg,test,leaning_backward,,,,CL00003,,,,,,,,CL00003,249,True,True,False,1080,720,241.1112,111.9962
IMG00013,test/leaning_backward/extract0619_jpg.rf.ab84bbcaf8a35fdeeea1bdd5cf5579d2.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0619_jpg.rf.ab84bbcaf8a35fdeeea1bdd5cf5579d2.jpg,test,leaning_backward,,,,CL00003,,,,,,,,CL00003,249,True,True,False,1080,720,246.5537,112.0062
IMG00014,test/leaning_backward/extract0620_jpg.rf.d419a420326b55360a59c80f9fbffbe9.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0620_jpg.rf.d419a420326b55360a59c80f9fbffbe9.jpg,test,leaning_backward,,,,CL00003,,,,,,,,CL00003,249,True,True,False,1080,720,249.9326,111.9405
IMG00015,test/leaning_backward/extract0623_jpg.rf.bba46de39f180ddbff817dc23fa8f420.jpg,D:\.Candra\Project\TA\02_data\raw\project_design_20242025\test\leaning_backward\extract0623_jpg.rf.bba46de39f180ddbff817dc23fa8f420.jpg,test,leaning_backward,,,,CL00139,,,,,,,,CL00139,4,False,True,False,1080,720,167.9171,111.7451
