cluster_id,cluster_size,labels,splits,mixed_label,cross_split,edge_count,min_edge_distance,max_edge_distance,mean_edge_distance,suggested_representative,review_priority
CL00001,431,leaning_forward | leaning_left | leaning_right | upright,test | train | valid,True,True,5396,0,2,1.277,train/upright/extract2080_jpg.rf.247fa46673a00f3b8c8d47d74a06ddb2.jpg,P1_mixed_label_cross_split
CL00002,426,leaning_backward | leaning_forward | leaning_left | leaning_right | upright,test | train | valid,True,True,3404,0,2,1.316,train/upright/extract3320_jpg.rf.fc565dd8c49cf7d596cb2ba735d03ee1.jpg,P1_mixed_label_cross_split
CL00003,249,leaning_backward | leaning_forward | leaning_left | upright,test | train | valid,True,True,1731,0,2,1.175,train/upright/extract0990_jpg.rf.def23fd87d8bb2658a1c78d1c963fc8f.jpg,P1_mixed_label_cross_split
CL00004,154,leaning_backward | upright,test | train | valid,True,True,2239,0,2,0.938,test/leaning_backward/extract2360_jpg.rf.717ae1cb99bcecfef2591d2aa86b28cc.jpg,P1_mixed_label_cross_split
CL00005,123,leaning_forward | upright,test | train,True,True,811,0,2,1.249,train/upright/extract0196_jpg.rf.9aadb3eed43d3ebdd905b50a1716b26d.jpg,P1_mixed_label_cross_split
CL00006,87,leaning_backward | leaning_left | leaning_right | upright,test | train | valid,True,True,524,0,2,1.206,train/leaning_left/extract0558_jpg.rf.0bd3e96d3d05c2707d05234542924ca5.jpg,P1_mixed_label_cross_split
CL00007,72,leaning_forward | upright,test | train | valid,True,True,700,0,2,1.193,valid/leaning_forward/extract0937_jpg.rf.4148d362841ede15c66557e2bc3b4478.jpg,P1_mixed_label_cross_split
CL00008,63,leaning_right,train,False,False,394,0,2,1.18,train/leaning_right/extract3076_jpg.rf.d671bd91ec4ab22cda3723e1eab987f8.jpg,P4_same_label_same_split
CL00009,61,leaning_left,train,False,False,323,0,2,1.068,train/leaning_left/extract1808_jpg.rf.a6f3bc9dfdadfeead0cdb1158c271fbd.jpg,P4_same_label_same_split
CL00010,58,upright,train,False,False,421,0,2,1.295,train/upright/extract2888_jpg.rf.b2d034ba36af6abd148f5a575001815c.jpg,P4_same_label_same_split
CL00011,57,leaning_forward | leaning_left | leaning_right | upright,test | train | valid,True,True,648,0,2,1.165,valid/leaning_forward/mb20077_jpg.rf.ef01fadcaa277a3f5c6d13c86756b419.jpg,P1_mixed_label_cross_split
CL00012,50,leaning_backward,test | train | valid,False,True,451,0,2,1.2,train/leaning_backward/extract3250_jpg.rf.1bd9e8a603d6c33902fc5d8b0bff385d.jpg,P2_cross_split
CL00013,49,leaning_left,train,False,False,159,0,2,1.233,train/leaning_left/extract3430_jpg.rf.dcf05103f2a30bbf10f859f08cdd86d6.jpg,P4_same_label_same_split
CL00014,48,leaning_left,train,False,False,177,0,2,1.141,train/leaning_left/extract0364_jpg.rf.eaebb1d09779e8958f8e4e172eff0869.jpg,P4_same_label_same_split
CL00015,47,leaning_left,train,False,False,150,0,2,1.213,train/leaning_left/extract2544_jpg.rf.abff3474dbae7c8a2abb8e82f95e595b.jpg,P4_same_label_same_split
