path,relative_path,split,label,width,height,aspect_ratio,file_size_bytes,sha256,dhash64,brightness_mean,edge_variance,is_corrupt,error
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0001_jpg.rf.a1332939a94147508e6c3b1eefdacdfe.jpg,test\leaning_backward\extract0001_jpg.rf.a1332939a94147508e6c3b1eefdacdfe.jpg,test,leaning_backward,1079,720,1.498611,86251,240f20c753fff28b00dd4e656c0e42be760cbc2850c61c6a2df9553778c47727,a49c9c1c1b9b9b1f,137.6096,630.8582,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0003_jpg.rf.8430a909638c7f091efbb4d99e46724b.jpg,test\leaning_backward\extract0003_jpg.rf.8430a909638c7f091efbb4d99e46724b.jpg,test,leaning_backward,1080,720,1.5,82898,7352d0e95494084f94ee13faa84ea929ed893836e159280611388775ea0e1221,cb4904533636168d,139.2219,603.3809,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0005_jpg.rf.b03d4d44d87b4673ecac12fd1e67e1f6.jpg,test\leaning_backward\extract0005_jpg.rf.b03d4d44d87b4673ecac12fd1e67e1f6.jpg,test,leaning_backward,1080,720,1.5,83977,54d81faa972331ba42791e6da222d644b5b39dcd9138d295ae55f0c4d78cf955,2c6d9f3593939f4e,139.4228,607.7768,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0006_jpg.rf.bb14f80d3ed5120d553b720e9fe580a0.jpg,test\leaning_backward\extract0006_jpg.rf.bb14f80d3ed5120d553b720e9fe580a0.jpg,test,leaning_backward,1079,720,1.498611,79698,aafd1e435c094ae1d0f8cfd7c12831da260481ad21000ca34cc54f3f6d09310b,c9cb245613363606,137.5801,513.7316,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0011_jpg.rf.92d86a7e71a3d849dd3b8635f41189dd.jpg,test\leaning_backward\extract0011_jpg.rf.92d86a7e71a3d849dd3b8635f41189dd.jpg,test,leaning_backward,1080,720,1.5,83661,69cf4c8d0be249331d9636b961e9f0d5fde07fadf054b987dbe470b733794764,a69c9c3a9c9d9e9f,137.1655,572.0529,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0013_jpg.rf.64b52fb73c5e806771df0b27184fec9c.jpg,test\leaning_backward\extract0013_jpg.rf.64b52fb73c5e806771df0b27184fec9c.jpg,test,leaning_backward,1080,720,1.5,62883,7a597fa07a8c609ace1e84ef705f84125f54bd9bc7003d5320365dbccb15a8f3,3484012c8889c9e3,140.6692,300.2368,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0013_jpg.rf.ab91529194bb5f6acb33be8bb4eae67c.jpg,test\leaning_backward\extract0013_jpg.rf.ab91529194bb5f6acb33be8bb4eae67c.jpg,test,leaning_backward,1079,720,1.498611,67359,b9d8a5c87c887ec2e042eca2a0b036a2b892bc2b0a3e7534d0d44b50dd586213,2480012c0889c9c3,140.5366,300.9241,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0015_jpg.rf.0cd6f117632fa6701cca0e9e715f593a.jpg,test\leaning_backward\extract0015_jpg.rf.0cd6f117632fa6701cca0e9e715f593a.jpg,test,leaning_backward,1080,720,1.5,68164,4fb4bd57d30f0f4950af5b71f115b78d839d2afe81e79f1f4552ba0c205f5903,0cec74b4a434e48e,138.9744,322.7348,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0585_jpg.rf.9cc21b4ff1811e7094d374f89d77ee6e.jpg,test\leaning_backward\extract0585_jpg.rf.9cc21b4ff1811e7094d374f89d77ee6e.jpg,test,leaning_backward,1080,720,1.5,28566,9d060b424e7a2f4eae86df5a0124f81518ef4c1a574f1d7c1bcf035bdec548fc,8f971e4f1f1b1939,110.0483,231.5547,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0591_jpg.rf.472e1d1ce2931a1dd74a918ecdf6e060.jpg,test\leaning_backward\extract0591_jpg.rf.472e1d1ce2931a1dd74a918ecdf6e060.jpg,test,leaning_backward,1080,720,1.5,28557,64321c56ba17fd9610ba0ae34f44d5656d317f7fb32456d393109c68fa088792,a7971e5f1f1b1939,110.5671,236.8703,False,
D:\.Candra\Project\TA\Sitting Posture Classification.v5i.folder\test\leaning_backward\extract0608_jpg.rf.deac4b3adfc307ba257a188a5d856676.jpg,test\leaning_backward\extract0608_jpg.rf.deac4b3adfc307ba257a188a5d856676.jpg,test,leaning_backward,1080,720,1.5,29122,ee284fa41232befc6692cd77a4e57626a996a83a58a3e64748003419804ed0fb,1214a73517272363,112.4833,233.8466,False,
