capture_id,subject_id,label,class_id,fold,split
CAP000048,S002,upright,5,0,train
CAP000049,S002,upright,5,0,train
CAP000050,S002,upright,5,0,train
CAP000051,S002,upright,5,0,train
CAP000052,S002,upright,5,0,train
CAP000053,S002,leaning_forward,1,0,train
CAP000054,S002,leaning_forward,1,0,train
CAP000055,S002,leaning_forward,1,0,train
CAP000056,S002,leaning_forward,1,0,train
CAP000057,S002,leaning_forward,1,0,train
CAP000058,S002,leaning_backward,0,0,train
CAP000059,S002,leaning_backward,0,0,train
CAP000060,S002,leaning_backward,0,0,train
CAP000061,S002,leaning_backward,0,0,train
CAP000062,S002,leaning_backward,0,0,train
CAP000063,S002,leaning_left,2,0,train
CAP000064,S002,leaning_left,2,0,train
CAP000065,S002,leaning_left,2,0,train
CAP000066,S002,leaning_left,2,0,train
CAP000067,S002,leaning_left,2,0,train
CAP000068,S002,leaning_right,3,0,train
CAP000069,S002,leaning_right,3,0,train
CAP000070,S002,leaning_right,3,0,train
CAP000071,S002,leaning_right,3,0,train
CAP000072,S002,leaning_right,3,0,train
CAP000073,S002,slouching,4,0,train
CAP000074,S002,slouching,4,0,train
CAP000075,S002,slouching,4,0,train
CAP000076,S002,slouching,4,0,train
CAP000077,S002,slouching,4,0,train
CAP000083,S003,upright,5,0,train
CAP000084,S003,upright,5,0,train
CAP000085,S003,upright,5,0,train
CAP000086,S003,upright,5,0,train
CAP000087,S003,upright,5,0,train
CAP000088,S003,leaning_forward,1,0,train
CAP000089,S003,leaning_forward,1,0,train
CAP000090,S003,leaning_forward,1,0,train
CAP000091,S003,leaning_forward,1,0,train
CAP000092,S003,leaning_forward,1,0,train
CAP000093,S003,leaning_backward,0,0,train
CAP000094,S003,leaning_backward,0,0,train
CAP000095,S003,leaning_backward,0,0,train
CAP000096,S003,leaning_backward,0,0,train
CAP000097,S003,leaning_backward,0,0,train
CAP000098,S003,leaning_left,2,0,train
CAP000099,S003,leaning_left,2,0,train
CAP000100,S003,leaning_left,2,0,train
CAP000101,S003,leaning_left,2,0,train
CAP000102,S003,leaning_left,2,0,train
CAP000103,S003,leaning_right,3,0,train
CAP000104,S003,leaning_right,3,0,train
CAP000105,S003,leaning_right,3,0,train
CAP000106,S003,leaning_right,3,0,train
CAP000107,S003,leaning_right,3,0,train
CAP000122,S004,upright,5,0,train
CAP000123,S004,upright,5,0,train
CAP000124,S004,upright,5,0,train
CAP000125,S004,upright,5,0,train
CAP000126,S004,upright,5,0,train
CAP000127,S004,leaning_forward,1,0,train
CAP000128,S004,leaning_forward,1,0,train
CAP000129,S004,leaning_forward,1,0,train
CAP000130,S004,leaning_forward,1,0,train
CAP000131,S004,leaning_forward,1,0,train
CAP000132,S004,leaning_backward,0,0,train
CAP000133,S004,leaning_backward,0,0,train
CAP000134,S004,leaning_backward,0,0,train
CAP000135,S004,leaning_backward,0,0,train
CAP000136,S004,leaning_backward,0,0,train
CAP000137,S004,leaning_left,2,0,train
CAP000138,S004,leaning_left,2,0,train
CAP000139,S004,leaning_left,2,0,train
CAP000140,S004,leaning_left,2,0,train
CAP000141,S004,leaning_left,2,0,train
CAP000142,S004,leaning_right,3,0,train
CAP000143,S004,leaning_right,3,0,train
CAP000144,S004,leaning_right,3,0,train
CAP000145,S004,leaning_right,3,0,train
CAP000146,S004,leaning_right,3,0,train
CAP000147,S004,slouching,4,0,train
CAP000148,S004,slouching,4,0,train
CAP000149,S004,slouching,4,0,train
CAP000150,S004,slouching,4,0,train
CAP000151,S004,slouching,4,0,train
CAP000157,S005,upright,5,0,train
CAP000158,S005,upright,5,0,train
CAP000159,S005,upright,5,0,train
CAP000160,S005,upright,5,0,train
CAP000161,S005,upright,5,0,train
CAP000162,S005,leaning_forward,1,0,train
CAP000163,S005,leaning_forward,1,0,train
CAP000164,S005,leaning_forward,1,0,train
CAP000165,S005,leaning_forward,1,0,train
CAP000166,S005,leaning_forward,1,0,train
CAP000167,S005,leaning_backward,0,0,train
CAP000168,S005,leaning_backward,0,0,train
CAP000169,S005,leaning_backward,0,0,train
