capture_id,subject_id,session_id,class_id,label,calibration_id,lateral_side,subset,fold_id
CAP000001,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000002,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000003,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000004,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000005,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000006,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000007,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000008,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000009,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000010,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000011,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000012,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000013,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000014,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000015,S001,SE01,0,upright,CAL_001,left,pilot,0
CAP000016,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000017,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000018,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000019,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000020,S001,SE01,1,leaning_forward,CAL_001,left,pilot,0
CAP000021,S001,SE01,2,leaning_backward,CAL_001,left,pilot,0
CAP000022,S001,SE01,2,leaning_backward,CAL_001,left,pilot,0
CAP000023,S001,SE01,2,leaning_backward,CAL_001,left,pilot,0
CAP000024,S001,SE01,2,leaning_backward,CAL_001,left,pilot,0
CAP000025,S001,SE01,2,leaning_backward,CAL_001,left,pilot,0
CAP000026,S001,SE01,3,leaning_left,CAL_001,left,pilot,0
CAP000027,S001,SE01,3,leaning_left,CAL_001,left,pilot,0
CAP000028,S001,SE01,3,leaning_left,CAL_001,left,pilot,0
CAP000029,S001,SE01,3,leaning_left,CAL_001,left,pilot,0
CAP000030,S001,SE01,3,leaning_left,CAL_001,left,pilot,0
CAP000031,S001,SE01,4,leaning_right,CAL_001,left,pilot,0
CAP000032,S001,SE01,4,leaning_right,CAL_001,left,pilot,0
CAP000033,S001,SE01,4,leaning_right,CAL_001,left,pilot,0
CAP000036,S001,SE01,5,slouching,CAL_001,left,pilot,0
CAP000037,S001,SE01,5,slouching,CAL_001,left,pilot,0
CAP000038,S001,SE01,5,slouching,CAL_001,left,pilot,0
CAP000039,S001,SE01,5,slouching,CAL_001,left,pilot,0
CAP000040,S001,SE01,5,slouching,CAL_001,left,pilot,0
CAP000048,S002,SE01,0,upright,CAL_001,left,pilot,1
CAP000049,S002,SE01,0,upright,CAL_001,left,pilot,1
CAP000050,S002,SE01,0,upright,CAL_001,left,pilot,1
CAP000051,S002,SE01,0,upright,CAL_001,left,pilot,1
CAP000052,S002,SE01,0,upright,CAL_001,left,pilot,1
CAP000053,S002,SE01,1,leaning_forward,CAL_001,left,pilot,1
CAP000054,S002,SE01,1,leaning_forward,CAL_001,left,pilot,1
CAP000055,S002,SE01,1,leaning_forward,CAL_001,left,pilot,1
CAP000056,S002,SE01,1,leaning_forward,CAL_001,left,pilot,1
CAP000057,S002,SE01,1,leaning_forward,CAL_001,left,pilot,1
CAP000058,S002,SE01,2,leaning_backward,CAL_001,left,pilot,1
CAP000059,S002,SE01,2,leaning_backward,CAL_001,left,pilot,1
CAP000060,S002,SE01,2,leaning_backward,CAL_001,left,pilot,1
CAP000061,S002,SE01,2,leaning_backward,CAL_001,left,pilot,1
CAP000062,S002,SE01,2,leaning_backward,CAL_001,left,pilot,1
CAP000063,S002,SE01,3,leaning_left,CAL_001,left,pilot,1
CAP000064,S002,SE01,3,leaning_left,CAL_001,left,pilot,1
CAP000065,S002,SE01,3,leaning_left,CAL_001,left,pilot,1
CAP000066,S002,SE01,3,leaning_left,CAL_001,left,pilot,1
CAP000067,S002,SE01,3,leaning_left,CAL_001,left,pilot,1
CAP000068,S002,SE01,4,leaning_right,CAL_001,left,pilot,1
CAP000069,S002,SE01,4,leaning_right,CAL_001,left,pilot,1
CAP000070,S002,SE01,4,leaning_right,CAL_001,left,pilot,1
CAP000071,S002,SE01,4,leaning_right,CAL_001,left,pilot,1
CAP000072,S002,SE01,4,leaning_right,CAL_001,left,pilot,1
CAP000073,S002,SE01,5,slouching,CAL_001,left,pilot,1
CAP000074,S002,SE01,5,slouching,CAL_001,left,pilot,1
CAP000075,S002,SE01,5,slouching,CAL_001,left,pilot,1
CAP000076,S002,SE01,5,slouching,CAL_001,left,pilot,1
CAP000077,S002,SE01,5,slouching,CAL_001,left,pilot,1
CAP000083,S003,SE01,0,upright,CAL_004,left,pilot,0
CAP000084,S003,SE01,0,upright,CAL_004,left,pilot,0
