split,image_path,relative_path,label_path,width,height,file_size_bytes,sha256,dhash64,brightness_mean,edge_variance,is_corrupt,label_exists,label_empty,object_count,valid_object_count,invalid_object_count,error
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b.jpg,train\images\ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0000_jpg.rf.19a1858d01a65f54b6e89e1c56f6df5b.txt,1280,720,85823,9f8474a7f69ce2ebade00337b309036971b0f1a4f883a14ac1b507c56b4a2dc5,8ccdcccccc88919b,188.4969,486.1832,False,True,False,1,1,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d.jpg,train\images\ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0002_jpg.rf.c07ba23c029c0ade6bfb475f3cb7984d.txt,1280,720,84138,6954e3ec7e7290066f3783c85b5d4982b6060631edae2b1d663204bef47fe97d,8ccdcccccc88919b,188.5781,487.9796,False,True,False,1,1,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9.jpg,train\images\ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0003_jpg.rf.414e4f7bcc77a30db15a24809417dca9.txt,1280,720,83513,a06b43e1d9103b36a25f5dcf0e3b7dddf484e0485eda763c16b481b90dde27a5,8ccdcccccc88919b,188.5595,487.8419,False,True,False,1,1,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81.jpg,train\images\ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0005_jpg.rf.b476b62199fb0ced81a35deb03de3c81.txt,1280,720,80791,dbc476221fb5eeecbe369110e15d161b6f87e7a029810072a53e0abb0cac001c,8ccdcccccc88919b,188.5802,494.8438,False,True,False,1,1,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195.jpg,train\images\ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0007_jpg.rf.46edaae56ad85b646e31a5016d3e9195.txt,1280,720,80322,b331dcd3aa5c7459a4a3975a579e2239368a0444b1e763e7c2054637343f9425,8ccdcccccc88919b,188.6338,497.8758,False,True,False,1,1,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675.jpg,train\images\ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0008_jpg.rf.17292802d4251984398910f75cee7675.txt,1280,720,79219,442aad6defce590cf402117d7dadef62518ac5d950b61e8383078b11c960d644,8ccccccccc88919b,188.6378,484.6488,False,True,False,2,2,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d.jpg,train\images\ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0011_jpg.rf.c5786cd2b51a87cf3ee8327c9a14ff2d.txt,1280,720,78438,4d7d3a7892a8547df195c3583e9c500d056e6b5f1f972245eaf14e861ab8ad45,8ccccccccc88919b,188.7545,487.0926,False,True,False,1,1,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f.jpg,train\images\ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0012_jpg.rf.a301262f7d98e0fa1dc783dd35758e4f.txt,1280,720,78290,35562de625f5dca1659fe64ff14f7a8879fbf4bda5bd6de78bc348607c0237c2,8ccccccccc88919b,188.7645,481.9905,False,True,False,1,1,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa.jpg,train\images\ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0014_jpg.rf.0a22a5ea1a8e9ac6af74a3132dd241aa.txt,1280,720,78066,dd1f76fdc99a2aa9ca2823f281411473a8262dd0b13bd532864caa2bfd2f56aa,8ccccccccc88919b,188.761,479.6353,False,True,False,1,1,0,
train,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\images\ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd.jpg,train\images\ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd.jpg,D:\.Candra\Project\TA\02_data\raw\Sitting_posture.v17i.yolov8\train\labels\ngaphai_mp4-0015_jpg.rf.6a10b8d4e6d145d35a24ad9676fc9bcd.txt,1280,720,78333,6046ad5531beb2ddbb2cc8a953d8ff45162d4738490b7d3b93ed2d0d90012ad0,8ccccccccc88919b,188.7525,483.2346,False,True,False,1,1,0,
