class_id,class_name,keypoint_index,keypoint_name,total_objects,coordinate_present,coordinate_present_pct,visibility_gt_0,visibility_gt_0_pct,visibility_eq_2,visibility_eq_2_pct
0,nga_phai,0,kp_00,294,294,100.0,294,100.0,294,100.0
0,nga_phai,1,kp_01,294,294,100.0,294,100.0,294,100.0
0,nga_phai,2,kp_02,294,294,100.0,294,100.0,294,100.0
0,nga_phai,3,kp_03,294,294,100.0,294,100.0,294,100.0
0,nga_phai,4,kp_04,294,294,100.0,294,100.0,294,100.0
0,nga_phai,5,kp_05,294,294,100.0,294,100.0,294,100.0
0,nga_phai,6,kp_06,294,294,100.0,294,100.0,294,100.0
1,nga_trai,0,kp_00,280,280,100.0,280,100.0,280,100.0
1,nga_trai,1,kp_01,280,280,100.0,280,100.0,280,100.0
1,nga_trai,2,kp_02,280,280,100.0,280,100.0,280,100.0
1,nga_trai,3,kp_03,280,280,100.0,280,100.0,280,100.0
1,nga_trai,4,kp_04,280,280,100.0,280,100.0,280,100.0
1,nga_trai,5,kp_05,280,280,100.0,280,100.0,280,100.0
1,nga_trai,6,kp_06,280,280,100.0,280,100.0,280,100.0
2,nghieng_phai,0,kp_00,273,273,100.0,273,100.0,273,100.0
2,nghieng_phai,1,kp_01,273,273,100.0,273,100.0,273,100.0
2,nghieng_phai,2,kp_02,273,273,100.0,273,100.0,273,100.0
2,nghieng_phai,3,kp_03,273,273,100.0,273,100.0,273,100.0
2,nghieng_phai,4,kp_04,273,273,100.0,273,100.0,273,100.0
2,nghieng_phai,5,kp_05,273,273,100.0,273,100.0,273,100.0
2,nghieng_phai,6,kp_06,273,273,100.0,273,100.0,273,100.0
3,nghieng_trai,0,kp_00,283,283,100.0,283,100.0,283,100.0
3,nghieng_trai,1,kp_01,283,283,100.0,283,100.0,283,100.0
3,nghieng_trai,2,kp_02,283,283,100.0,283,100.0,283,100.0
3,nghieng_trai,3,kp_03,283,283,100.0,283,100.0,283,100.0
3,nghieng_trai,4,kp_04,283,283,100.0,283,100.0,283,100.0
3,nghieng_trai,5,kp_05,283,283,100.0,283,100.0,283,100.0
3,nghieng_trai,6,kp_06,283,283,100.0,283,100.0,283,100.0
4,thang,0,kp_00,566,566,100.0,566,100.0,566,100.0
4,thang,1,kp_01,566,566,100.0,566,100.0,566,100.0
4,thang,2,kp_02,566,566,100.0,566,100.0,566,100.0
4,thang,3,kp_03,566,566,100.0,566,100.0,566,100.0
4,thang,4,kp_04,566,566,100.0,566,100.0,566,100.0
4,thang,5,kp_05,566,566,100.0,566,100.0,566,100.0
4,thang,6,kp_06,566,566,100.0,566,100.0,566,100.0
