type,distance,split_a,label_a,path_a,split_b,label_b,path_b,note
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0585_jpg.rf.9cc21b4ff1811e7094d374f89d77ee6e.jpg,train,leaning_backward,train\leaning_backward\extract0584_jpg.rf.476d0ec635fb431dfd817b52eedcd728.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0585_jpg.rf.9cc21b4ff1811e7094d374f89d77ee6e.jpg,train,leaning_left,train\leaning_left\extract0583_jpg.rf.cf251922caaf11f3248ff8b58e4f6d21.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0585_jpg.rf.9cc21b4ff1811e7094d374f89d77ee6e.jpg,valid,leaning_backward,valid\leaning_backward\extract0586_jpg.rf.e51061dbf14ec1583fe5c2c929daa0b3.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0591_jpg.rf.472e1d1ce2931a1dd74a918ecdf6e060.jpg,train,leaning_backward,train\leaning_backward\extract0590_jpg.rf.c95b7c05416cf513ad33d68bb8502de1.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0591_jpg.rf.472e1d1ce2931a1dd74a918ecdf6e060.jpg,valid,leaning_backward,valid\leaning_backward\extract0590_jpg.rf.84789a6e49762834c0c89e0c5f5bc97c.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0617_jpg.rf.f5a1896477d710d0f23e637bb09b6094.jpg,train,leaning_backward,train\leaning_backward\extract0618_jpg.rf.5e47c00ad59e1de884f12baf2550a736.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0617_jpg.rf.f5a1896477d710d0f23e637bb09b6094.jpg,train,leaning_backward,train\leaning_backward\extract0619_jpg.rf.2fcff90296999c998c96d4a7ba3e2123.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0617_jpg.rf.f5a1896477d710d0f23e637bb09b6094.jpg,valid,leaning_backward,valid\leaning_backward\extract0621_jpg.rf.c123cd9f584bdf9df1704f048d1c9932.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0619_jpg.rf.ab84bbcaf8a35fdeeea1bdd5cf5579d2.jpg,train,leaning_backward,train\leaning_backward\extract0618_jpg.rf.5e47c00ad59e1de884f12baf2550a736.jpg,Near duplicate muncul pada split berbeda
near_duplicate,0,test,leaning_backward,test\leaning_backward\extract0619_jpg.rf.ab84bbcaf8a35fdeeea1bdd5cf5579d2.jpg,train,leaning_backward,train\leaning_backward\extract0619_jpg.rf.2fcff90296999c998c96d4a7ba3e2123.jpg,Near duplicate muncul pada split berbeda
