split,annotation_id,image_id,image_filename,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,bbox_valid,bbox_issue,num_keypoints_defined,num_keypoints_visible,num_keypoints_clearly_visible,keypoints_raw
test,0,0,image_20241010_170701_jpg.rf.49fdc76dca86b56ced0aaeb90d08d15c.jpg,1,Bad,81,22,347,525.5,182348.5,True,,4,4,4,"[253.915, 487.609, 2, 183.832, 208.927, 2, 232.586, 103.85, 2, 101.333, 315, 2]"
test,1,1,good_posture_20241013_222709_png.rf.386ecd5c794be23aae3e99047f519f92.jpg,2,Good,166,13,266,467.5,124355,True,,4,4,4,"[246.298, 441.923, 2, 249.345, 163.241, 2, 281.34, 84.433, 2, 176, 250, 2]"
test,2,2,bad_posture_20241021_144934_png.rf.1681bacbb1c8a2a85bebce05970e8df7.jpg,1,Bad,67,193,360.5,379,136629.5,True,,4,4,4,"[154.884, 535.579, 2, 194.497, 307.151, 2, 304.193, 262.607, 2, 100, 382, 2]"
test,3,3,image_20241007_210806_jpg.rf.4ceb030c1b5cc5636214465aaaabda90.jpg,2,Good,48,65,382.5,523.5,200238.75,True,,4,4,4,"[191.45, 532.153, 2, 191.45, 218.064, 2, 194.497, 128.977, 2, 96, 324, 2]"
test,4,4,image_20241007_225721_jpg.rf.ec0e896adc125d807a5b6672333205ef.jpg,1,Bad,42,87,359.5,489.5,175975.25,True,,4,4,4,"[216.298, 518.08, 2, 159.455, 247.76, 2, 199.067, 180.373, 2, 53.333, 363, 2]"
test,5,5,bad_posture_20241021_142354_png.rf.910bcb6597e9df7893db256e36faa67d.jpg,1,Bad,145,162,319,435.5,138924.5,True,,4,4,4,"[250.868, 536.721, 2, 270.675, 307.151, 2, 348.376, 243.191, 2, 177.333, 387, 2]"
test,6,6,bad_posture_20241021_145524_png.rf.9b06e38e78350843b6ef4344258ab5fb.jpg,1,Bad,113,172,398.5,410.5,163584.25,True,,4,4,4,"[221.921, 555.138, 2, 240.203, 333.562, 2, 336.188, 250.186, 2, 132, 392, 2]"
test,7,7,bad_posture_20241021_142701_png.rf.671d36bfb00dce753d083e2a6d0f8a37.jpg,1,Bad,155,150,323,428.5,138405.5,True,,4,4,4,"[255.439, 531.01, 2, 263.057, 298.014, 2, 330.093, 231.77, 2, 174.667, 396, 2]"
test,8,8,bad_posture_20241021_144526_png.rf.14bcfa158ef2885700810367bf39be4a.jpg,1,Bad,126,185,329,396.5,130448.5,True,,4,4,4,"[229.539, 534.437, 2, 234.109, 333.42, 2, 349.9, 270.602, 2, 141.333, 395, 2]"
test,9,9,image_20241008_200500_jpg.rf.a3e1abe37c7047be08fd3db08c3982c7.jpg,2,Good,62,56,572,499,285428,True,,4,4,4,"[217.35, 520.731, 2, 176.214, 235.196, 2, 212.779, 128.977, 2, 112, 329, 2]"
