split,annotation_id,image_id,image_filename,category_id,category_name,bbox_x,bbox_y,bbox_w,bbox_h,area,bbox_valid,bbox_issue
test,1,0,sipotion_1749658636068_slouch_0_58_jpg.rf.ed71a27d8249e802914aafd785df9e9f.jpg,1,good_posture,22.67,68.67,359.33,570.67,205058.851,True,
test,2,1,72daffd77d1f9d8af6e5e640485f6e0c-Copy_jpg.rf.8b04cbb167ce4cefb9fac0426ff7e84f.jpg,2,leaning_backward,90.96,111,315.13,496.06,156323.388,True,
test,3,2,c142feaefecfdb85382550c96a969304-Copy_jpg.rf.8b888a6ef444e877552590d3ebe10e73.jpg,1,good_posture,16.42,10.63,353.62,587.03,207585.549,True,
test,4,3,0274eea195802ee11fe9cb42d744a3a5-Copy_jpg.rf.c92ebb2bbd2526dcb66083afc4d57378.jpg,2,leaning_backward,60,38,509,489,248901,True,
test,5,4,sipotion_1749658307508_slouch_0_76_jpg.rf.a2c574cac241e5380c06e63df693ecf1.jpg,2,leaning_backward,14.67,201.33,561.33,388.67,218172.131,True,
test,6,5,42a2e2f9936efee584a8097f31c5aabe_jpg.rf.006c7f0ad56fb2fdd8109ac75c42a41d.jpg,2,leaning_backward,171.01,287.44,206.77,226.21,46773.442,True,
test,7,6,65ce382b9740824cd60c75dd3d63f124-Copy_jpg.rf.d385f9aca6133626f7913c0ecd6565d5.jpg,2,leaning_backward,430.85,63.1,180.21,254.92,45939.133,True,
test,8,7,432b48ccf28d7fcc0f22e6ba64125813_jpg.rf.3a05b66b5666c452a6a8dfa7f816bf4e.jpg,1,good_posture,124.64,126.57,178.74,338.8,60557.112,True,
test,9,8,c6d1f57389e8f64ee15a5322e439df9e-Copy_jpg.rf.8e4471bb6cac6ae4feeda1069ea96a99.jpg,3,leaning_forward,91.19,35.74,324.27,426.3,138236.301,True,
test,10,9,740512adde40d4ee80d56ae28860911b-Copy-2-_jpg.rf.0f2817c94f4b0fc0e7225f02af6255e6.jpg,3,leaning_forward,81.74,54.49,351.3,355.02,124718.526,True,
test,11,10,62da6af058cd30c332ac28dc90ed0623_jpg.rf.52841a069c88fc40eeeef4d1047ed6d2.jpg,4,slouch,77.39,1.11,180.29,350.42,63177.222,True,
test,12,11,bc18373311979c71fed00857b3a4a10c-Copy_jpg.rf.b05435656b5086bd9b6765255542bfc1.jpg,2,leaning_backward,205,112,346,418,144628,True,
test,13,12,sipotion_1749658258832_slouch_0_91_jpg.rf.52eef3e58d32e9f4150a3afce05cb9c4.jpg,4,slouch,152,122.67,341.33,516.67,176354.971,True,
test,14,13,3a3fd2e7590db30a55c2487fcf1a5347-Copy_jpg.rf.d3b920287e63a611858ae2f131ea15d5.jpg,2,leaning_backward,336.32,77.64,225.67,310.01,69959.957,True,
test,15,14,d974879dd06b5613537beedc5cfa1555-Copy_jpg.rf.b941e30c38c14548f3ca2d61a837ebc5.jpg,2,leaning_backward,1.74,42.2,623.77,574.03,358062.693,True,
test,16,16,704ade2870b57685ece9df6865b63eee_jpg.rf.9a6115d3c468f7c4521703607bb5f615.jpg,1,good_posture,79.86,122.45,139.86,196.73,27514.658,True,
test,17,16,704ade2870b57685ece9df6865b63eee_jpg.rf.9a6115d3c468f7c4521703607bb5f615.jpg,1,good_posture,243.92,112.28,109.37,235.92,25802.57,True,
test,18,17,sipotion_1749636390966_good_posture_0_81_jpg.rf.5de3f5c1bf4c6af49cd20393d45dd6ea.jpg,4,slouch,156.67,0,465.33,597.33,277955.569,True,
test,19,18,91ebb2d20fb64512390fe8bc365944ab-Copy-2-_jpg.rf.107a2e8d0f12f74349057082ad2a16ee.jpg,2,leaning_backward,52.8,115.74,393.6,524.26,206348.736,True,
test,20,19,sipotion_1749658833293_leaning_forward_0_66_jpg.rf.e66038de18f08b2535039ce514d0229c.jpg,1,good_posture,141.33,150.67,364.67,486,177229.62,True,
test,21,20,sipotion_1749658804428_slouch_0_64_jpg.rf.e97e3fcb031d4e23d8e4181e0fd7dfb7.jpg,1,good_posture,213.33,124.67,267.33,492,131526.36,True,
test,22,21,d13525dd5abd2e0bfacd61bc45026d28-Copy_jpg.rf.023c2f92edde79cfb2603188d3cda349.jpg,2,leaning_backward,3.79,5,605.79,493.95,299229.97,True,
test,23,22,308f25d389f7166c6c2f7878b53c9dd0-Copy_jpg.rf.7424cf94f4054490de4cbabbdf7b48a9.jpg,3,leaning_forward,88.48,120.88,240.32,315.92,75921.894,True,
test,24,23,65012d0639e0f9159e97dfab863c23c0-Copy_jpg.rf.e1e8418a481de637a4526c07fd678220.jpg,2,leaning_backward,249,116,211,292,61612,True,
test,25,24,eb30355b4f2a6c8180104e5218f24051-Copy_jpg.rf.3ef04e10c91c0c6004a17bef99d707ef.jpg,3,leaning_forward,31.89,146.86,329.47,468.17,154247.97,True,
test,26,25,166d1b2cb6e2ca4c6f50f57d9d936e19-Copy-2-_jpg.rf.2856ed8934c641e99153a8fd082a8824.jpg,4,slouch,78.26,9.27,476.52,604.17,287899.088,True,
test,27,26,99f55cc0728ede9d4d24f7afde08b037-Copy-2-_jpg.rf.51c65bb99f13dc2f0e7e361216381871.jpg,3,leaning_forward,0,0,461.11,640,295110.4,True,
test,28,27,444cf0f06077401c805cc3972c0a3c0b_jpg.rf.84bfa71a93944fa4a111412ba226737e.jpg,3,leaning_forward,0,146.37,389.33,461.75,179773.128,True,
test,29,28,2c5219f9f7b315e1843c637ecb0311b3-Copy_jpg.rf.8925fe83a2fc7fe8044dbc0cf2bcba38.jpg,2,leaning_backward,83.21,131.56,254.22,229.77,58412.129,True,
test,30,28,2c5219f9f7b315e1843c637ecb0311b3-Copy_jpg.rf.8925fe83a2fc7fe8044dbc0cf2bcba38.jpg,2,leaning_backward,364.8,121.84,222.93,260.38,58046.513,True,
test,31,29,sipotion_1749658608416_slouch_0_65_jpg.rf.7b30b884c027ee627a7e1057b00a19d4.jpg,2,leaning_backward,34,140.67,440.67,496,218572.32,True,
test,32,30,4538140074cd3b191dbfe2bd8dcad832_jpg.rf.2e834b3da4dc1244fcd5cd024074a5f8.jpg,3,leaning_forward,54.94,18.32,390.53,620.25,242226.232,True,
test,33,31,sipotion_1749637002402_leaning_forward_0_55_jpg.rf.8748aa4f545120cb5507355719d80643.jpg,2,leaning_backward,244.67,124.67,168,299.33,50287.44,True,
test,34,32,6b0d10c3616f1938b4d574a563b40be3-Copy_jpg.rf.532d817889900c8e7fc317ee54936971.jpg,3,leaning_forward,37.52,54.37,398.5,531.27,211711.095,True,
test,35,33,f09855e5cd54c62f84675476c12ec4e6_jpg.rf.41832fe1f6a3c7fcf2ab6eed65b0f022.jpg,3,leaning_forward,152.72,2.79,433.9,476.92,206935.588,True,
test,36,34,a39787e6425e2969fd41dd5084f48b58-Copy_jpg.rf.d5f0d75b547911f497cbf7fe671208c8.jpg,4,slouch,66.39,2.54,362.81,416.2,151001.522,True,
test,37,35,db74ca092dbf7bd34c56125630300039-Copy_jpg.rf.66d918d05930c49e58c4893b58bbab44.jpg,3,leaning_forward,84.06,219.32,190.34,283.7,53999.458,True,
test,38,35,db74ca092dbf7bd34c56125630300039-Copy_jpg.rf.66d918d05930c49e58c4893b58bbab44.jpg,2,leaning_backward,236.23,228.02,133.81,233.49,31243.297,True,
test,39,36,cbdd25e5fbc027fbd268ecbc9c497959_jpg.rf.1680ebf40ad5afdd392a876358f5911c.jpg,3,leaning_forward,73.07,2.03,317.67,433.04,137563.817,True,
test,40,37,person-with-good-posture-sitting-on-desk-with-laptop_Cr_DragonImages_envato-Copy-2-_jpg.rf.d139a4ce00accbfcdef8fb5e3d68ebf8.jpg,1,good_posture,182,19,314,407,127798,True,
test,41,38,sipotion_1749658615050_slouch_0_60_jpg.rf.4a184b2300e491beea6d79446a813258.jpg,4,slouch,110.67,121.33,390.67,513.33,200542.631,True,
test,42,39,sipotion_1749660912234_leaning_forward_0_72_jpg.rf.cf9a4247c1342de3f91b68c9e4a67a32.jpg,3,leaning_forward,74.67,2,400,626,250400,True,
test,43,40,a1bf02829610e90737b5f048b5e33d32-Copy_jpg.rf.e91e31cae2c9b96fbdb616c133aaaba8.jpg,1,good_posture,262.31,74.38,179.96,307.37,55314.305,True,
test,44,41,sipotion_1749645312114_slouch_0_72_jpg.rf.e3d25d73aa5f4fa1bf58b82d342b0fb4.jpg,4,slouch,142.67,78,342,538,183996,True,
test,45,42,sipotion_1749658126825_leaning_forward_0_61_jpg.rf.667d1ab0c2c9eea8e7d957242170dabf.jpg,1,good_posture,203.33,49.33,421.33,590,248584.7,True,
test,46,43,sipotion_1749658821418_leaning_forward_0_82_jpg.rf.90d587caac573624e6e55cf7cd0ba7f9.jpg,2,leaning_backward,178.67,107.33,344.67,504,173713.68,True,
test,47,44,d331558d85678f525213c0fabe9cd385-Copy_jpg.rf.5d1fda43580888d35131e028caebc1fd.jpg,3,leaning_forward,9.79,160.38,269.65,400.26,107930.109,True,
test,48,45,30a4b35a96c093fefda959d40f799386_jpg.rf.b326fedb0c5907a74d9fc5b9ccf45095.jpg,3,leaning_forward,408.44,8.26,188.27,335.78,63217.301,True,
test,49,45,30a4b35a96c093fefda959d40f799386_jpg.rf.b326fedb0c5907a74d9fc5b9ccf45095.jpg,3,leaning_forward,83.25,6,199.91,349.29,69826.564,True,
test,50,46,07da296c0d7ed298ef1adc0a1ad22a47_jpg.rf.e9a1e17deaa92800e1f4cb8499f7776e.jpg,3,leaning_forward,138.33,83.89,269.45,442.93,119347.488,True,
test,51,47,59d2fde6e6d87a1538a49e6fa55f75a2-Copy_jpg.rf.356c60f1b7d51387bce4c7cf7cde9b1d.jpg,2,leaning_backward,27.75,194.74,464.48,418.83,194538.158,True,
test,52,48,posture-233-_jpg.rf.7066d9a2ca67655a4d0e6241dece9659.jpg,3,leaning_forward,133.34,133.89,413.89,452.89,187446.642,True,
test,53,49,sipotion_1749650397826_leaning_forward_0_85_jpg.rf.e024f6690122f97e3a50a6061403b7fa.jpg,3,leaning_forward,0,0,398,536,213328,True,
test,54,50,269e71cd36f6371d09d8d86ea33cc736-Copy_jpg.rf.2691763d89271f473ab22d686e812812.jpg,2,leaning_backward,27.99,229.41,380.44,383.74,145990.046,True,
test,55,51,109063978371b3373c43d70e2241077e-Copy_jpg.rf.019fb8817278bf229b8ef229c0ca5873.jpg,3,leaning_forward,232.11,125.15,336.21,361.99,121704.658,True,
test,56,52,96bd4af03d7fadfa533e7da434c45962_jpg.rf.a95dbb8d7e45d470a8459684b6c602a1.jpg,1,good_posture,32,26.13,228.27,445.5,101694.285,True,
test,57,53,b343425a170baaa4b13d5da4e2a1dd58-Copy_jpg.rf.06eb8ea5646640e319dff331772f6dc3.jpg,3,leaning_forward,69.57,151.21,303.38,418.45,126949.361,True,
test,58,54,b687c7fca4465fd3a16ec49e64b56613-Copy_jpg.rf.bb361bc8f6894886271cbe806935ad1d.jpg,2,leaning_backward,1,9,478,561,268158,True,
test,59,55,7cfb52d66039f707c2a39eed8e9395e8-Copy_jpg.rf.93c8312d994380e70fbe818567f7c5e4.jpg,3,leaning_forward,91.39,155.7,253.85,456.99,116006.912,True,
test,60,56,54d5623444aa28a035629077f1e3ec07-Copy-2-_jpg.rf.d47437caa93a10d596c532b727522781.jpg,2,leaning_backward,85.78,58.49,293.49,339.73,99707.358,True,
test,61,57,f716e154978334ae2e295d599f94ce18-1-Copy_jpg.rf.227d7e3aaaa6f21158712804037bdea7.jpg,3,leaning_forward,77.75,48.72,353.48,569.17,201190.212,True,
test,62,58,d2551c12ee75b9801558fc5fc9aa6835-Copy_jpg.rf.b23b1aff26c060abfd7f17bb9ef2123b.jpg,2,leaning_backward,26.08,219.71,413.34,335.8,138799.572,True,
test,63,59,ae991ba64b9c8d6dae8690ad6b3d081c-Copy_jpg.rf.f1f94b91a9163d6ba7133e4bacdd1e25.jpg,3,leaning_forward,275.94,108.61,229.96,333.22,76627.271,True,
test,64,60,55632de40c58a115989eac19fd4a0434-Copy_jpg.rf.4df1d597a86ca75ccd80c18862107ccf.jpg,3,leaning_forward,191.3,59.71,331.02,386.88,128065.018,True,
test,65,61,4c84606a0be3a00dcd0c5afa33e8e379-Copy_jpg.rf.4abb6266a233f40df4c9bb97f0b58d4b.jpg,2,leaning_backward,113.91,37.68,311.3,298.97,93069.361,True,
test,66,62,65b68aa00170db5f0a8af73b0aabb967-Copy-2-_jpg.rf.6db438ef58d42ae06604559a213077fa.jpg,3,leaning_forward,96.92,14.69,402.35,483.59,194572.437,True,
test,67,63,ef22e2258b249c12ed7d356d9763d6e3-Copy_jpg.rf.b459b262a8affa810dc4d58d11eabfa0.jpg,3,leaning_forward,86.96,21.45,367.53,568.19,208826.871,True,
test,68,64,d6ed48520eb23c8108f497dba46154ed-Copy_jpg.rf.144603397b29ed24c456f46102829800.jpg,3,leaning_forward,117.39,193.24,262.32,413.11,108367.015,True,
