hamming_distance,same_split,split_a,filename_a,path_a,split_b,filename_b,path_b
0,False,train,sipotion_1749643406632_leaning_forward_0_55_jpg.rf.e61215c99298cdc791e1f78160e79c63.jpg,train/sipotion_1749643406632_leaning_forward_0_55_jpg.rf.e61215c99298cdc791e1f78160e79c63.jpg,valid,sipotion_1749643405698_leaning_forward_0_40_jpg.rf.0378da516ce1a91f4ed3d0a010168e8c.jpg,valid/sipotion_1749643405698_leaning_forward_0_40_jpg.rf.0378da516ce1a91f4ed3d0a010168e8c.jpg
0,True,train,8f502de8d9390e8a73c55732e739f718_jpg.rf.fe3fe822de28b972306f069a1c7ebe2e.jpg,train/8f502de8d9390e8a73c55732e739f718_jpg.rf.fe3fe822de28b972306f069a1c7ebe2e.jpg,train,6b9933790ae2c8f7ccfdb2667922a709_jpg.rf.f6985b4f2f67545bf0143929c516794a.jpg,train/6b9933790ae2c8f7ccfdb2667922a709_jpg.rf.f6985b4f2f67545bf0143929c516794a.jpg
0,True,valid,posture-341-_jpg.rf.bb422cdcf4cbdd304533d8b196b9e8fc.jpg,valid/posture-341-_jpg.rf.bb422cdcf4cbdd304533d8b196b9e8fc.jpg,valid,proper-sitting-posture-at-desk-Copy-2-_jpg.rf.4daa4ecfea2a3fbcf50bd186cac86eee.jpg,valid/proper-sitting-posture-at-desk-Copy-2-_jpg.rf.4daa4ecfea2a3fbcf50bd186cac86eee.jpg
1,True,train,sipotion_1749658658497_slouch_0_81_jpg.rf.d38860f50cefb5975a94f695f947d3d2.jpg,train/sipotion_1749658658497_slouch_0_81_jpg.rf.d38860f50cefb5975a94f695f947d3d2.jpg,train,sipotion_1749658652880_slouch_0_76_jpg.rf.f8cd8fd3375b3b21681716a0afbfe08c.jpg,train/sipotion_1749658652880_slouch_0_76_jpg.rf.f8cd8fd3375b3b21681716a0afbfe08c.jpg
1,False,train,sipotion_1749660935080_leaning_forward_0_91_jpg.rf.f3bd6cb3d47f968f17256d35efcf90ba.jpg,train/sipotion_1749660935080_leaning_forward_0_91_jpg.rf.f3bd6cb3d47f968f17256d35efcf90ba.jpg,valid,sipotion_1749660946045_leaning_forward_0_92_jpg.rf.7e543899fb8dc36e2477f555f7ce8e2b.jpg,valid/sipotion_1749660946045_leaning_forward_0_92_jpg.rf.7e543899fb8dc36e2477f555f7ce8e2b.jpg
1,False,train,sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg,train/sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg,valid,sipotion_1749648197532_good_posture_0_85_jpg.rf.4c3fb000830d28832d727f4f11522af3.jpg,valid/sipotion_1749648197532_good_posture_0_85_jpg.rf.4c3fb000830d28832d727f4f11522af3.jpg
1,True,valid,sipotion_1749658563677_leaning_backward_0_60_jpg.rf.3ebf8947b4df6a069dc4b7b4885c96a9.jpg,valid/sipotion_1749658563677_leaning_backward_0_60_jpg.rf.3ebf8947b4df6a069dc4b7b4885c96a9.jpg,valid,sipotion_1749658568490_leaning_backward_0_44_jpg.rf.ee5163d16e021b829c2fe3c59a192f63.jpg,valid/sipotion_1749658568490_leaning_backward_0_44_jpg.rf.ee5163d16e021b829c2fe3c59a192f63.jpg
2,False,test,sipotion_1749658307508_slouch_0_76_jpg.rf.a2c574cac241e5380c06e63df693ecf1.jpg,test/sipotion_1749658307508_slouch_0_76_jpg.rf.a2c574cac241e5380c06e63df693ecf1.jpg,train,sipotion_1749658311807_slouch_0_74_jpg.rf.399b0950824c9782f513d05e1bae9f2a.jpg,train/sipotion_1749658311807_slouch_0_74_jpg.rf.399b0950824c9782f513d05e1bae9f2a.jpg
2,False,test,sipotion_1749645312114_slouch_0_72_jpg.rf.e3d25d73aa5f4fa1bf58b82d342b0fb4.jpg,test/sipotion_1749645312114_slouch_0_72_jpg.rf.e3d25d73aa5f4fa1bf58b82d342b0fb4.jpg,valid,sipotion_1749645315512_slouch_0_72_jpg.rf.ef06daa7707260f80f6e8439325b9904.jpg,valid/sipotion_1749645315512_slouch_0_72_jpg.rf.ef06daa7707260f80f6e8439325b9904.jpg
2,True,train,sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,train/sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,train,sipotion_1749649849610_slouch_0_75_jpg.rf.d7e193c8ce1097a755ae423c374d6243.jpg,train/sipotion_1749649849610_slouch_0_75_jpg.rf.d7e193c8ce1097a755ae423c374d6243.jpg
