type,distance,split_a,path_a,split_b,path_b,note
near_duplicate,0,train,train/sipotion_1749643406632_leaning_forward_0_55_jpg.rf.e61215c99298cdc791e1f78160e79c63.jpg,valid,valid/sipotion_1749643405698_leaning_forward_0_40_jpg.rf.0378da516ce1a91f4ed3d0a010168e8c.jpg,Near duplicate muncul pada split berbeda
near_duplicate,1,train,train/sipotion_1749660935080_leaning_forward_0_91_jpg.rf.f3bd6cb3d47f968f17256d35efcf90ba.jpg,valid,valid/sipotion_1749660946045_leaning_forward_0_92_jpg.rf.7e543899fb8dc36e2477f555f7ce8e2b.jpg,Near duplicate muncul pada split berbeda
near_duplicate,1,train,train/sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg,valid,valid/sipotion_1749648197532_good_posture_0_85_jpg.rf.4c3fb000830d28832d727f4f11522af3.jpg,Near duplicate muncul pada split berbeda
near_duplicate,2,test,test/sipotion_1749658307508_slouch_0_76_jpg.rf.a2c574cac241e5380c06e63df693ecf1.jpg,train,train/sipotion_1749658311807_slouch_0_74_jpg.rf.399b0950824c9782f513d05e1bae9f2a.jpg,Near duplicate muncul pada split berbeda
near_duplicate,2,test,test/sipotion_1749645312114_slouch_0_72_jpg.rf.e3d25d73aa5f4fa1bf58b82d342b0fb4.jpg,valid,valid/sipotion_1749645315512_slouch_0_72_jpg.rf.ef06daa7707260f80f6e8439325b9904.jpg,Near duplicate muncul pada split berbeda
near_duplicate,2,train,train/sipotion_1749658795005_good_posture_0_45_jpg.rf.754a0c9e4cb6913e56457ffbfdf289e3.jpg,valid,valid/sipotion_1749658792534_good_posture_0_72_jpg.rf.980442380fc848cd5a8a4c52127591de.jpg,Near duplicate muncul pada split berbeda
near_duplicate,2,train,train/sipotion_1749660908457_leaning_forward_0_83_jpg.rf.23059baeaa1c8fb0704256e77e38083a.jpg,valid,valid/sipotion_1749660905991_leaning_forward_0_88_jpg.rf.544e696145c41c1edf921fe5f8bf1973.jpg,Near duplicate muncul pada split berbeda
near_duplicate,2,train,train/sipotion_1749649868548_slouch_0_86_jpg.rf.9eb0741bf441b370b5726c9d301c7017.jpg,valid,valid/sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg,Near duplicate muncul pada split berbeda
near_duplicate,2,train,train/sipotion_1749643409553_leaning_forward_0_53_jpg.rf.bad1b47de4a0ef545516855ef32811b4.jpg,valid,valid/sipotion_1749643407582_leaning_forward_0_46_jpg.rf.1e9e36d323dd76bf5402f4ec107662d7.jpg,Near duplicate muncul pada split berbeda
near_duplicate,3,test,test/sipotion_1749637002402_leaning_forward_0_55_jpg.rf.8748aa4f545120cb5507355719d80643.jpg,train,train/sipotion_1749637004429_leaning_forward_0_73_jpg.rf.33ab2ee1b733a15ff7cea7d3fb584e9f.jpg,Near duplicate muncul pada split berbeda
near_duplicate,3,test,test/sipotion_1749648193249_good_posture_0_88_jpg.rf.d95125fe1b20ef6376719179dc796b95.jpg,valid,valid/sipotion_1749648197532_good_posture_0_85_jpg.rf.4c3fb000830d28832d727f4f11522af3.jpg,Near duplicate muncul pada split berbeda
near_duplicate,4,test,test/sipotion_1749650397826_leaning_forward_0_85_jpg.rf.e024f6690122f97e3a50a6061403b7fa.jpg,train,train/sipotion_1749650401543_leaning_forward_0_58_jpg.rf.7725919671b206dd9e24898ab94209e1.jpg,Near duplicate muncul pada split berbeda
near_duplicate,4,test,test/sipotion_1749648193249_good_posture_0_88_jpg.rf.d95125fe1b20ef6376719179dc796b95.jpg,train,train/sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg,Near duplicate muncul pada split berbeda
near_duplicate,4,train,train/sipotion_1749648194709_good_posture_0_88_jpg.rf.ff6ecd0e88f04f84d359254ffea43115.jpg,valid,valid/sipotion_1749648202573_good_posture_0_87_jpg.rf.a8897cb1f8afafd69f7505d9b16d9434.jpg,Near duplicate muncul pada split berbeda
near_duplicate,5,test,test/sipotion_1749636390966_good_posture_0_81_jpg.rf.5de3f5c1bf4c6af49cd20393d45dd6ea.jpg,train,train/sipotion_1749636392897_good_posture_0_88_jpg.rf.534d5657ee3d7e99e4778e567e50f86f.jpg,Near duplicate muncul pada split berbeda
near_duplicate,5,train,train/sipotion_1749649856675_slouch_0_83_jpg.rf.e9c576c3c6fa751c034cfc28488cd381.jpg,valid,valid/sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg,Near duplicate muncul pada split berbeda
near_duplicate,5,train,train/sipotion_1749649849610_slouch_0_75_jpg.rf.d7e193c8ce1097a755ae423c374d6243.jpg,valid,valid/sipotion_1749649871123_slouch_0_61_jpg.rf.c520a724a5d3ba60e60ae054eb4ab412.jpg,Near duplicate muncul pada split berbeda
