epoch,train_loss,train_acc,valid_loss,valid_acc,lr
1,1.3865,0.49,1.1006,0.5515,0.0001
2,0.9326,0.7187,0.8659,0.6618,0.0001
3,0.6648,0.7682,0.6654,0.75,0.0001
4,0.4995,0.847,0.6096,0.7574,0.0001
5,0.404,0.8794,0.6155,0.7574,0.0001
6,0.3411,0.8764,0.6276,0.7721,0.0001
7,0.2875,0.9011,0.5857,0.7941,0.0001
8,0.221,0.9413,0.6218,0.8235,0.0001
9,0.1942,0.9397,0.6255,0.8382,0.0001
10,0.1751,0.9366,0.6405,0.8235,0.0001
11,0.1469,0.9614,0.589,0.8309,0.0001
12,0.1643,0.9459,0.5611,0.8309,0.0001
13,0.1145,0.9645,0.6453,0.8235,0.0001
14,0.1535,0.9459,0.5564,0.8603,0.0001
15,0.0997,0.9675,0.5761,0.8529,0.0001
16,0.0956,0.9737,0.5805,0.8382,0.0001
17,0.0918,0.9706,0.5936,0.8456,0.0001
18,0.0815,0.9784,0.4832,0.8676,0.0001
19,0.0569,0.9876,0.4896,0.875,0.0001
20,0.1016,0.9768,0.5792,0.8382,0.0001
21,0.0882,0.9768,0.5824,0.8382,0.0001
22,0.0581,0.9861,0.5073,0.8456,0.0001
23,0.0724,0.9768,0.466,0.8897,0.0001
24,0.1004,0.9675,0.5295,0.8456,0.0001
25,0.0778,0.9799,0.5281,0.8603,0.0001
26,0.0603,0.983,0.5821,0.8309,0.0001
27,0.0818,0.9784,0.541,0.8603,0.0001
28,0.0423,0.9861,0.6431,0.8603,0.0001
29,0.0666,0.9876,0.6498,0.8309,5e-05
30,0.0405,0.9907,0.6311,0.8529,5e-05
