epoch,train_loss,train_acc,valid_loss,valid_acc,lr
1,1.3348,0.3236,1.3029,0.3836,0.0001
2,1.1296,0.6531,1.2601,0.4521,0.0001
3,0.9529,0.7551,1.2135,0.4521,0.0001
4,0.7437,0.8251,1.1316,0.5205,0.0001
5,0.5402,0.8776,1.0878,0.5479,0.0001
6,0.42,0.9067,1.0627,0.5753,0.0001
7,0.3382,0.9359,1.0244,0.6301,0.0001
8,0.2707,0.93,1.0495,0.6575,0.0001
9,0.1912,0.965,1.0314,0.6712,0.0001
10,0.1602,0.9592,1.044,0.6438,0.0001
11,0.1524,0.9504,1.1397,0.6164,0.0001
12,0.1176,0.9796,1.1174,0.6301,0.0001
13,0.125,0.965,1.1552,0.6712,5e-05
14,0.1027,0.9825,1.1539,0.6849,5e-05
15,0.0949,0.9767,1.1736,0.6438,5e-05
16,0.0934,0.9825,1.1164,0.6575,5e-05
17,0.0648,0.9883,1.1641,0.6849,5e-05
18,0.0713,0.9854,1.1265,0.6712,5e-05
19,0.0592,0.9825,1.158,0.6849,2.5e-05
20,0.0621,0.9825,1.2216,0.6986,2.5e-05
21,0.0472,0.9942,1.2128,0.6575,2.5e-05
22,0.0789,0.9825,1.2153,0.6986,2.5e-05
23,0.0468,0.9971,1.2237,0.6712,2.5e-05
24,0.0583,0.9913,1.213,0.6849,2.5e-05
25,0.0478,0.9942,1.2519,0.6849,1.25e-05
26,0.0584,0.9854,1.2298,0.6849,1.25e-05
27,0.0446,0.9971,1.2183,0.6712,1.25e-05
28,0.0455,0.9913,1.2258,0.6849,1.25e-05
29,0.0491,0.9913,1.2473,0.6849,1.25e-05
30,0.0364,0.9913,1.2634,0.6849,1.25e-05
