capture_id,subject_id,posture,calibration_id,status,valid_joints_3d,mean_reprojection_err_px,shoulder_width_m,torso_length_m,mean_depth_z_m,reason
CAP000001,S001,upright,CAL_001,PASS,14,605.7,0.281,0.504,1.351,3D Skeleton and anatomy valid
CAP000002,S001,upright,CAL_001,PASS,14,605.35,0.273,0.53,1.359,3D Skeleton and anatomy valid
CAP000003,S001,upright,CAL_001,PASS,14,603.44,0.281,0.498,1.349,3D Skeleton and anatomy valid
CAP000004,S001,upright,CAL_001,PASS,14,605.24,0.278,0.533,1.361,3D Skeleton and anatomy valid
CAP000005,S001,upright,CAL_001,PASS,14,604.89,0.293,0.504,1.35,3D Skeleton and anatomy valid
CAP000006,S001,leaning_forward,CAL_001,PASS,12,620.53,0.17,1.299,1.057,3D Skeleton and anatomy valid
CAP000007,S001,leaning_forward,CAL_001,PASS,12,621.59,0.157,1.397,1.074,3D Skeleton and anatomy valid
CAP000008,S001,leaning_forward,CAL_001,PASS,12,620.13,0.162,1.484,1.083,3D Skeleton and anatomy valid
CAP000009,S001,leaning_forward,CAL_001,PASS,12,621.53,0.155,1.791,1.134,3D Skeleton and anatomy valid
CAP000010,S001,leaning_forward,CAL_001,PASS,12,621.32,0.153,1.9,1.15,3D Skeleton and anatomy valid
CAP000011,S001,upright,CAL_001,PASS,12,576.38,0.328,0.66,1.242,3D Skeleton and anatomy valid
CAP000012,S001,upright,CAL_001,PASS,12,569.69,0.366,0.489,0.961,3D Skeleton and anatomy valid
CAP000013,S001,upright,CAL_001,PASS,12,573.14,0.366,0.52,0.961,3D Skeleton and anatomy valid
CAP000014,S001,upright,CAL_001,PASS,12,572.73,0.388,0.533,0.959,3D Skeleton and anatomy valid
CAP000015,S001,upright,CAL_001,PASS,12,576.82,0.385,0.541,1.362,3D Skeleton and anatomy valid
CAP000016,S001,leaning_forward,CAL_001,PASS,12,563.01,0.162,2.024,1.051,3D Skeleton and anatomy valid
CAP000017,S001,leaning_forward,CAL_001,REVIEW,12,649.72,0.09,3.25,1.863,Moderate joint count (12/17) or minor distortion
CAP000018,S001,leaning_forward,CAL_001,REVIEW,12,667.34,0.123,3.336,1.926,Moderate joint count (12/17) or minor distortion
CAP000019,S001,leaning_forward,CAL_001,REVIEW,11,667.4,0.107,3.439,2.006,Moderate joint count (11/17) or minor distortion
CAP000020,S001,leaning_forward,CAL_001,REVIEW,12,665.33,0.123,3.126,1.897,Moderate joint count (12/17) or minor distortion
CAP000021,S001,leaning_backward,CAL_001,PASS,12,552.26,0.38,0.71,1.242,3D Skeleton and anatomy valid
CAP000022,S001,leaning_backward,CAL_001,PASS,12,556.85,0.347,1.122,1.378,3D Skeleton and anatomy valid
CAP000023,S001,leaning_backward,CAL_001,PASS,12,537.56,0.319,1.486,1.388,3D Skeleton and anatomy valid
CAP000024,S001,leaning_backward,CAL_001,PASS,14,590.42,0.321,1.202,1.491,3D Skeleton and anatomy valid
CAP000025,S001,leaning_backward,CAL_001,PASS,12,544.18,0.307,1.208,1.317,3D Skeleton and anatomy valid
CAP000026,S001,leaning_left,CAL_001,PASS,13,574.06,0.189,0.47,1.232,3D Skeleton and anatomy valid
CAP000027,S001,leaning_left,CAL_001,PASS,14,630.96,0.197,0.469,1.311,3D Skeleton and anatomy valid
CAP000028,S001,leaning_left,CAL_001,PASS,14,614.52,0.19,0.465,1.325,3D Skeleton and anatomy valid
CAP000029,S001,leaning_left,CAL_001,PASS,14,612.82,0.187,0.469,1.391,3D Skeleton and anatomy valid
CAP000030,S001,leaning_left,CAL_001,PASS,14,601.59,0.183,0.443,1.106,3D Skeleton and anatomy valid
CAP000031,S001,leaning_right,CAL_001,PASS,12,541.31,0.45,2.717,1.592,3D Skeleton and anatomy valid
CAP000032,S001,leaning_right,CAL_001,PASS,12,545.41,0.446,2.266,1.52,3D Skeleton and anatomy valid
CAP000033,S001,leaning_right,CAL_001,PASS,12,543.03,0.434,2.083,1.495,3D Skeleton and anatomy valid
CAP000034,S001,leaning_right,CAL_001,PASS,11,522.61,0.489,2.192,1.303,3D Skeleton and anatomy valid
CAP000035,S001,leaning_right,CAL_001,PASS,11,516.92,0.487,2.6,1.352,3D Skeleton and anatomy valid
CAP000036,S001,slouching,CAL_001,REVIEW,12,618.58,0.149,0.942,1.046,Moderate joint count (12/17) or minor distortion
CAP000037,S001,slouching,CAL_001,REVIEW,14,672.54,0.141,0.642,1.343,Moderate joint count (14/17) or minor distortion
CAP000038,S001,slouching,CAL_001,REVIEW,12,621.72,0.134,0.608,1.366,Moderate joint count (12/17) or minor distortion
CAP000039,S001,slouching,CAL_001,REVIEW,14,683.34,0.112,0.609,1.078,Moderate joint count (14/17) or minor distortion
CAP000040,S001,slouching,CAL_001,REVIEW,14,665.71,0.137,0.446,1.346,Moderate joint count (14/17) or minor distortion
CAP000041,S001,forward_head,CAL_001,REVIEW,14,670.44,0.142,0.467,1.177,Moderate joint count (14/17) or minor distortion
CAP000042,S001,forward_head,CAL_001,REVIEW,14,670.73,0.136,0.585,1.266,Moderate joint count (14/17) or minor distortion
CAP000043,S001,forward_head,CAL_001,REVIEW,14,677.26,0.13,0.572,1.281,Moderate joint count (14/17) or minor distortion
CAP000044,S001,forward_head,CAL_001,REVIEW,14,674.88,0.124,0.433,1.127,Moderate joint count (14/17) or minor distortion
CAP000045,S001,forward_head,CAL_001,REVIEW,13,705.22,0.119,0.471,1.218,Moderate joint count (13/17) or minor distortion
CAP000046,S001,reject,CAL_001,REVIEW,6,465.81,,,1.962,Moderate joint count (6/17) or minor distortion
CAP000047,S001,reject,CAL_001,PASS,0,,,,,Negative sample properly rejected
CAP000048,S002,upright,CAL_001,REVIEW,12,580.93,0.271,2.416,1.775,Moderate joint count (12/17) or minor distortion
CAP000049,S002,upright,CAL_001,REVIEW,12,580.04,0.275,2.063,1.802,Moderate joint count (12/17) or minor distortion
CAP000050,S002,upright,CAL_001,REVIEW,12,581.34,0.279,2.06,1.805,Moderate joint count (12/17) or minor distortion
CAP000051,S002,upright,CAL_001,REVIEW,12,586.54,0.245,2.347,1.794,Moderate joint count (12/17) or minor distortion
CAP000052,S002,upright,CAL_001,REVIEW,12,585.55,0.258,2.42,1.817,Moderate joint count (12/17) or minor distortion
CAP000053,S002,leaning_forward,CAL_001,REVIEW,12,641.54,0.142,4.053,1.172,Moderate joint count (12/17) or minor distortion
CAP000054,S002,leaning_forward,CAL_001,PASS,12,635.53,0.219,4.81,1.291,3D Skeleton and anatomy valid
