capture_id,subject_id,posture,calibration_id,correspondence_status,correspondence_score,status_3d,decision,valid_3d_joints_core,valid_3d_joints_total,core_reproj_error_640p_px,core_reproj_error_1080p_px,masked_joint_max_error_px,shoulder_width_m,torso_length_m,depth_z_m,reason
CAP000001,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,14,35.01,105.03,77.77,0.196,0.438,0.832,"Full 3D: 11/17 core joints, core_err=35.0px, Z=0.83m"
CAP000002,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,14,36.45,109.34,78.76,0.192,0.437,0.828,"Full 3D: 11/17 core joints, core_err=36.4px, Z=0.83m"
CAP000003,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,14,35.6,106.81,79.2,0.194,0.433,0.829,"Full 3D: 11/17 core joints, core_err=35.6px, Z=0.83m"
CAP000004,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,14,36.5,109.5,78.92,0.195,0.437,0.828,"Full 3D: 11/17 core joints, core_err=36.5px, Z=0.83m"
CAP000005,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,14,35.73,107.2,78.16,0.195,0.433,0.829,"Full 3D: 11/17 core joints, core_err=35.7px, Z=0.83m"
CAP000006,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,12,33.4,100.2,65.65,0.21,0.425,0.795,"Full 3D: 11/17 core joints, core_err=33.4px, Z=0.80m"
CAP000007,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,12,33.39,100.18,65.38,0.205,0.423,0.793,"Full 3D: 11/17 core joints, core_err=33.4px, Z=0.79m"
CAP000008,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,34.93,104.78,,0.207,0.426,0.79,"Full 3D: 12/17 core joints, core_err=34.9px, Z=0.79m"
CAP000009,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,35.3,105.91,,0.206,0.425,0.787,"Full 3D: 12/17 core joints, core_err=35.3px, Z=0.79m"
CAP000010,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,35.41,106.24,,0.206,0.424,0.786,"Full 3D: 12/17 core joints, core_err=35.4px, Z=0.79m"
CAP000011,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,12,39.65,118.96,75.16,0.199,0.465,0.843,"Full 3D: 10/17 core joints, core_err=39.7px, Z=0.84m"
CAP000012,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,12,38.84,116.52,70.91,0.206,0.442,0.848,"Full 3D: 11/17 core joints, core_err=38.8px, Z=0.85m"
CAP000013,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,12,38.31,114.93,73.64,0.212,0.449,0.857,"Full 3D: 10/17 core joints, core_err=38.3px, Z=0.86m"
CAP000014,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,12,39.53,118.6,71.92,0.217,0.45,0.858,"Full 3D: 11/17 core joints, core_err=39.5px, Z=0.86m"
CAP000015,S001,upright,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,10,12,40.53,121.58,76.33,0.22,0.458,0.857,"Full 3D: 10/17 core joints, core_err=40.5px, Z=0.86m"
CAP000016,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,17.57,52.72,,0.198,0.399,0.803,"Full 3D: 12/17 core joints, core_err=17.6px, Z=0.80m"
CAP000017,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,18.64,55.93,,0.218,0.398,0.797,"Full 3D: 12/17 core joints, core_err=18.6px, Z=0.80m"
CAP000018,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,23.43,70.28,,0.231,0.434,0.794,"Full 3D: 12/17 core joints, core_err=23.4px, Z=0.79m"
CAP000019,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,11,20.1,60.3,,0.228,0.418,0.794,"Full 3D: 11/17 core joints, core_err=20.1px, Z=0.79m"
CAP000020,S001,leaning_forward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,24.28,72.84,,0.234,0.44,0.793,"Full 3D: 12/17 core joints, core_err=24.3px, Z=0.79m"
CAP000021,S001,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,11,12,36.0,107.99,65.39,0.228,0.432,0.867,"Full 3D: 11/17 core joints, core_err=36.0px, Z=0.87m"
CAP000022,S001,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,41.16,123.49,,0.214,0.43,0.852,"Full 3D: 12/17 core joints, core_err=41.2px, Z=0.85m"
CAP000023,S001,leaning_backward,CAL_001,SAME_PERSON,0,PASS,INCLUDE_3D_FULL,12,12,37.75,113.26,,0.209,0.435,0.859,"Full 3D: 12/17 core joints, core_err=37.8px, Z=0.86m"
